"","ID","observation","code"
"667",167,"PMICFNC2",77
"668",167,"XLMEFNC2",77
"669",168,"MCTLFNC2",-1
"670",168,"OXTOFNC2",-1
"671",168,"PMICFNC2",-1
"672",168,"XLMEFNC2",-1
"673",169,"MCTLFNC2",77
"674",169,"OXTOFNC2",77
"675",169,"PMICFNC2",77
"676",169,"XLMEFNC2",77
"677",170,"MCTLFNC2",77
"678",170,"OXTOFNC2",77
"679",170,"PMICFNC2",77
"680",170,"XLMEFNC2",77
"681",171,"MCTLFNC2",77
"682",171,"OXTOFNC2",77
"683",171,"PMICFNC2",77
"684",171,"XLMEFNC2",77
"685",172,"MCTLFNC2",-1
"686",172,"OXTOFNC2",-1
"687",172,"PMICFNC2",-1
"688",172,"XLMEFNC2",-1
"689",173,"MCTLFNC2",77
"690",173,"OXTOFNC2",77
"691",173,"PMICFNC2",77
"692",173,"XLMEFNC2",77
"693",174,"MCTLFNC2",77
"694",174,"OXTOFNC2",77
"695",174,"PMICFNC2",77
"696",174,"XLMEFNC2",77
"697",175,"MCTLFNC2",77
"698",175,"OXTOFNC2",77
"699",175,"PMICFNC2",77
"700",175,"XLMEFNC2",77
"701",176,"MCTLFNC2",77
"702",176,"OXTOFNC2",77
"703",176,"PMICFNC2",77
"704",176,"XLMEFNC2",77
"705",177,"MCTLFNC2",77
"706",177,"OXTOFNC2",77
"707",177,"PMICFNC2",77
"708",177,"XLMEFNC2",77
"709",178,"MCTLFNC2",77
"710",178,"OXTOFNC2",77
"711",178,"PMICFNC2",77
"712",178,"XLMEFNC2",77
"713",179,"MCTLFNC2",77
"714",179,"OXTOFNC2",77
"715",179,"PMICFNC2",77
"716",179,"XLMEFNC2",77
"717",180,"MCTLFNC2",77
"718",180,"OXTOFNC2",77
"719",180,"PMICFNC2",77
"720",180,"XLMEFNC2",77
"721",181,"MCTLFNC2",-1
"722",181,"OXTOFNC2",77
"723",181,"PMICFNC2",77
"724",181,"XLMEFNC2",77
"725",182,"MCTLFNC2",-1
"726",182,"OXTOFNC2",-1
"727",182,"PMICFNC2",-1
"728",182,"XLMEFNC2",-1
"729",183,"MCTLFNC2",77
"730",183,"OXTOFNC2",77
"731",183,"PMICFNC2",77
"732",183,"XLMEFNC2",-1
"733",184,"MCTLFNC2",77
"734",184,"OXTOFNC2",77
"735",184,"PMICFNC2",77
"736",184,"XLMEFNC2",77
"737",185,"MCTLFNC2",77
"738",185,"OXTOFNC2",77
"739",185,"PMICFNC2",77
"740",185,"XLMEFNC2",77
"741",186,"MCTLFNC2",-1
"742",186,"OXTOFNC2",77
"743",186,"PMICFNC2",77
"744",186,"XLMEFNC2",77
"745",187,"MCTLFNC2",77
"746",187,"OXTOFNC2",77
"747",187,"PMICFNC2",77
"748",187,"XLMEFNC2",77
"749",188,"MCTLFNC2",77
"750",188,"OXTOFNC2",77
"751",188,"PMICFNC2",77
"752",188,"XLMEFNC2",77
"753",189,"MCTLFNC2",-1
"754",189,"OXTOFNC2",77
"755",189,"PMICFNC2",77
"756",189,"XLMEFNC2",77
"757",190,"MCTLFNC2",77
"758",190,"OXTOFNC2",77
"759",190,"PMICFNC2",77
"760",190,"XLMEFNC2",77
"761",191,"MCTLFNC2",77
"762",191,"OXTOFNC2",77
"763",191,"PMICFNC2",77
"764",191,"XLMEFNC2",77
"765",192,"MCTLFNC2",77
"766",192,"OXTOFNC2",77
"767",192,"PMICFNC2",77
"768",192,"XLMEFNC2",77
"769",193,"MCTLFNC2",77
"770",193,"OXTOFNC2",77
"771",193,"PMICFNC2",77
"772",193,"XLMEFNC2",77
"773",194,"MCTLFNC2",-1
"774",194,"OXTOFNC2",-1
"775",194,"PMICFNC2",-1
"776",194,"XLMEFNC2",-1
"777",195,"MCTLFNC2",77
"778",195,"OXTOFNC2",77
"779",195,"PMICFNC2",77
"780",195,"XLMEFNC2",77
"781",196,"MCTLFNC2",-1
"782",196,"OXTOFNC2",-1
"783",196,"PMICFNC2",-1
"784",196,"XLMEFNC2",-1
"785",197,"MCTLFNC2",77
"786",197,"OXTOFNC2",77
"787",197,"PMICFNC2",77
"788",197,"XLMEFNC2",77
"789",198,"MCTLFNC2",77
"790",198,"OXTOFNC2",77
"791",198,"PMICFNC2",77
"792",198,"XLMEFNC2",77
"793",199,"MCTLFNC2",77
"794",199,"OXTOFNC2",77
"795",199,"PMICFNC2",77
"796",199,"XLMEFNC2",77
"797",200,"MCTLFNC2",-1
"798",200,"OXTOFNC2",-1
"799",200,"PMICFNC2",-1
"800",200,"XLMEFNC2",-1
"801",201,"MCTLFNC2",77
"802",201,"OXTOFNC2",77
"803",201,"PMICFNC2",77
"804",201,"XLMEFNC2",77
"805",202,"MCTLFNC2",77
"806",202,"OXTOFNC2",77
"807",202,"PMICFNC2",77
"808",202,"XLMEFNC2",77
"809",203,"MCTLFNC2",77
"810",203,"OXTOFNC2",77
"811",203,"PMICFNC2",77
"812",203,"XLMEFNC2",77
"813",204,"MCTLFNC2",77
"814",204,"OXTOFNC2",77
"815",204,"PMICFNC2",77
"816",204,"XLMEFNC2",77
"817",205,"MCTLFNC2",77
"818",205,"OXTOFNC2",77
"819",205,"PMICFNC2",77
"820",205,"XLMEFNC2",77
"821",206,"MCTLFNC2",77
"822",206,"OXTOFNC2",77
"823",206,"PMICFNC2",77
"824",206,"XLMEFNC2",77
