"ORD_A","ORD_F","archInterp","funcInterp","count","arch_total","arch_pct","func_total","func_pct","PairIndex","count_LC","arch_pct_LC","func_pct_LC","PairIndex_LC"
120,51,"primary interpretation is the best assessment of a very ambiguous situation","no plausible alternative to the pirmary interpretation",309,4655,0.0663802363050483,13644,0.0226473175021988,0.0890275538072471,69,0.0677134445534838,0.0201166180758017,0.0878300626292856
61,112,"no plausible alternative to the primary interpretation","possible ball court",2,14583,0.000137145991908386,24,0.0833333333333333,0.0834704793252417,1,0.000269541778975741,0.125,0.125269541778976
23,68,"casa humilde","obsidian workshop",19,2358,0.00805767599660729,258,0.0736434108527132,0.0817010868493205,5,0.00816993464052288,0.0574712643678161,0.065641199008339
156,28,"room group","intermediate status residence",123,2458,0.0500406834825061,3924,0.0313455657492355,0.0813862492317416,34,0.390804597701149,0.0176899063475546,0.408494504048704
54,76,"no plausible alternative to the primary interpretation","other",17,14583,0.00116574093122129,220,0.0772727272727273,0.0784384682039485,6,0.00161725067385445,0.0759493670886076,0.077566617762462
49,23,"no plausible alternative to the primary interpretation","high status residence",46,14583,0.00315435781389289,636,0.0723270440251572,0.0754814018390501,23,0.00619946091644205,0.073015873015873,0.0792153339323151
97,164,"platform with other structures on it","temple platform",19,451,0.0421286031042129,586,0.0324232081911263,0.0745518112953391,7,0.0426829268292683,0.0303030303030303,0.0729859571322986
30,90,"casa humilde","other type of workshop or craft production area",3,2358,0.00127226463104326,41,0.0731707317073171,0.0744429963383603,1,0.00163398692810458,0.0666666666666667,0.0683006535947712
78,116,"occupation without durable structures","pottery workshop",2,1165,0.00171673819742489,28,0.0714285714285714,0.0731453096259963,1,0.0031055900621118,0.0769230769230769,0.0800286669851887
115,117,"plaza","pottery workshop",2,1218,0.00164203612479475,28,0.0714285714285714,0.0730706075533662,1,0.00230414746543779,0.0769230769230769,0.0792272243885147
33,115,"casa humilde","pottery workshop",2,2358,0.000848176420695505,28,0.0714285714285714,0.0722767478492669,1,0.00163398692810458,0.0769230769230769,0.0785570638511815
167,118,"room group","pottery workshop",2,2458,0.00081366965012205,28,0.0714285714285714,0.0722422410786935,NA,NA,NA,NA
154,62,"pyramid (more than ca. 10m high)","no plausible alternative to the pirmary interpretation",2,29,0.0689655172413793,13644,0.000146584579302257,0.0691121018206816,1,0.0769230769230769,0.000291545189504373,0.0772146221125813
109,69,"plaza","obsidian workshop",14,1218,0.0114942528735632,258,0.0542635658914729,0.0657578187650361,4,0.00921658986175115,0.0459770114942529,0.055193601356004
18,3,"apartment compound","\""civic\"" structure, but not a temple",4,4705,0.000850159404888417,62,0.0645161290322581,0.0653662884371465,2,0.000855798031664527,0.0869565217391304,0.087812319770795
171,165,"simple platform","temple platform",19,623,0.0304975922953451,586,0.0324232081911263,0.0629208004864714,1,0.00598802395209581,0.00432900432900433,0.0103170282811001
67,121,"occupation without durable structures","primary interpretation is the best assessment of a very ambiguous situation",60,1165,0.0515021459227468,5305,0.0113100848256362,0.062812230748383,18,0.0559006211180124,0.0153191489361702,0.0712197700541826
69,142,"occupation without durable structures","residence of uncertain status",49,1165,0.0420600858369099,2533,0.0193446506119226,0.0614047364488325,5,0.015527950310559,0.0352112676056338,0.0507392179161928
72,79,"occupation without durable structures","other",10,1165,0.00858369098712446,220,0.0454545454545455,0.0540382364416699,3,0.0093167701863354,0.0379746835443038,0.0472914537306392
110,80,"plaza","other",10,1218,0.00821018062397373,220,0.0454545454545455,0.0536647260785192,5,0.0115207373271889,0.0632911392405063,0.0748118765676953
122,70,"primary interpretation is the best assessment of a very ambiguous situation","obsidian workshop",13,4655,0.00279269602577873,258,0.0503875968992248,0.0531802929250035,5,0.00490677134445535,0.0574712643678161,0.0623780357122714
64,162,"no plausible alternative to the primary interpretation","temple",1,14583,6.85729959541932e-05,19,0.0526315789473684,0.0527001519433226,1,0.000269541778975741,0.125,0.125269541778976
21,141,"casa humilde","residence of uncertain status",62,2358,0.0262934690415606,2533,0.0244769048559021,0.0507703738974627,3,0.00490196078431373,0.0211267605633803,0.026028721347694
89,4,"other","\""civic\"" structure, but not a temple",2,126,0.0158730158730159,62,0.032258064516129,0.0481310803891449,1,0.0212765957446809,0.0434782608695652,0.0647548566142461
83,57,"other","no plausible alternative to the pirmary interpretation",6,126,0.0476190476190476,13644,0.000439753737906772,0.0480588013569544,2,0.0425531914893617,0.000583090379008746,0.0431362818683705
104,133,"platform with other structures on it","probably temple, hard to fit into any of the above categories",2,451,0.00443458980044346,50,0.04,0.0444345898004435,1,0.00609756097560976,0.0416666666666667,0.0477642276422764
93,108,"platform in plaza (momoztli)","plaza",1,23,0.0434782608695652,1139,0.000877963125548727,0.0443562239951139,NA,NA,NA,NA
96,52,"platform with other structures on it","no plausible alternative to the pirmary interpretation",19,451,0.0421286031042129,13644,0.00139255350337145,0.0435211566075843,7,0.0426829268292683,0.00204081632653061,0.0447237431557989
150,11,"probably not occupied or utilized in this period","avenue divider",1,6729,0.000148610491900728,25,0.04,0.0401486104919007,NA,NA,NA,NA
13,81,"apartment compound","other",8,4705,0.00170031880977683,220,0.0363636363636364,0.0380639551734132,4,0.00171159606332905,0.0506329113924051,0.0523445074557341
100,24,"platform with other structures on it","high status residence",10,451,0.0221729490022173,636,0.0157232704402516,0.0378962194424689,5,0.0304878048780488,0.0158730158730159,0.0463608207510647
117,49,"plaza","momoztli (platform in plaza)",1,1218,0.000821018062397373,27,0.037037037037037,0.0378580550994344,NA,NA,NA,NA
186,82,"temple base (incl. platforms & multi-tiered platforms)","other",6,614,0.00977198697068404,220,0.0272727272727273,0.0370447142434113,2,0.0078740157480315,0.0253164556962025,0.033190471444234
106,191,"plaza",NA,32,1218,0.0262725779967159,3128,0.010230179028133,0.0365027570248489,10,0.0230414746543779,0.021978021978022,0.0450194966323999
59,17,"no plausible alternative to the primary interpretation","cultivated field",4,14583,0.000274291983816773,113,0.0353982300884956,0.0356725220723123,2,0.000539083557951483,0.08,0.0805390835579515
159,189,"room group",NA,49,2458,0.0199349064279902,3128,0.0156649616368286,0.0355998680648189,4,0.0459770114942529,0.00879120879120879,0.0547682202854617
178,7,"simple platform","\""civic\"" structure, but not a temple",2,623,0.00321027287319422,62,0.032258064516129,0.0354683373893232,1,0.00598802395209581,0.0434782608695652,0.049466284821661
85,72,"other","obsidian workshop",3,126,0.0238095238095238,258,0.0116279069767442,0.035437430786268,1,0.0212765957446809,0.0114942528735632,0.0327708486182441
47,29,"no plausible alternative to the primary interpretation","intermediate status residence",105,14583,0.00720016457519029,3924,0.0267584097859327,0.033958574361123,52,0.0140161725067385,0.0270551508844953,0.0410713233912339
133,6,"primary interpretation is the best assessment of a very ambiguous situation","\""civic\"" structure, but not a temple",2,4655,0.000429645542427497,62,0.032258064516129,0.0326877100585565,1,0.00098135426889107,0.0434782608695652,0.0444596151384563
84,175,"other","unoccupied, not clear if cultivated or not",4,126,0.0317460317460317,4779,0.000836995187277673,0.0325830269333094,2,0.0425531914893617,0.00334448160535117,0.0458976730947129
111,158,"plaza","street or avenue",6,1218,0.00492610837438424,228,0.0263157894736842,0.0312418978480684,2,0.00460829493087558,0.0232558139534884,0.0278641088843639
22,190,"casa humilde",NA,42,2358,0.0178117048346056,3128,0.0134271099744246,0.0312388148090302,8,0.0130718954248366,0.0175824175824176,0.0306543130072542
71,172,"occupation without durable structures","unoccupied, not clear if cultivated or not",29,1165,0.0248927038626609,4779,0.00606821510776313,0.0309609189704241,7,0.0217391304347826,0.0117056856187291,0.0334448160535117
99,194,"platform with other structures on it",NA,12,451,0.0266075388026608,3128,0.00383631713554987,0.0304438559382106,4,0.024390243902439,0.00879120879120879,0.0331814526936478
98,30,"platform with other structures on it","intermediate status residence",12,451,0.0266075388026608,3924,0.00305810397553517,0.0296656427781959,6,0.0365853658536585,0.00312174817898023,0.0397071140326388
113,18,"plaza","cultivated field",3,1218,0.00246305418719212,113,0.0265486725663717,0.0290117267535638,1,0.00230414746543779,0.04,0.0423041474654378
10,188,"apartment compound",NA,54,4705,0.0114771519659936,3128,0.0172634271099744,0.028740579075968,27,0.0115532734274711,0.0593406593406593,0.0708939327681305
86,93,"other","platform of probable religious significance",3,126,0.0238095238095238,879,0.00341296928327645,0.0272224930928003,1,0.0212765957446809,0.00371747211895911,0.02499406786364
42,159,"cemetery","street or avenue",1,45,0.0222222222222222,228,0.0043859649122807,0.0266081871345029,1,0.0625,0.0116279069767442,0.0741279069767442
127,154,"primary interpretation is the best assessment of a very ambiguous situation","residential workshop",6,4655,0.00128893662728249,244,0.0245901639344262,0.0258791005617087,2,0.00196270853778214,0.0235294117647059,0.025492120302488
88,131,"other","primary interpretation is the best assessment of a very ambiguous situation",3,126,0.0238095238095238,5305,0.00056550424128181,0.0243750280508056,1,0.0212765957446809,0.000851063829787234,0.0221276595744681
173,101,"simple platform","plaza",9,623,0.014446227929374,1139,0.00790166812993854,0.0223478960593125,3,0.0179640718562874,0.00742574257425743,0.0253898144305448
172,54,"simple platform","no plausible alternative to the pirmary interpretation",13,623,0.0208667736757624,13644,0.000952799765464673,0.0218195734412271,2,0.0119760479041916,0.000583090379008746,0.0125591382832004
182,134,"simple platform","probably temple, hard to fit into any of the above categories",1,623,0.00160513643659711,50,0.02,0.0216051364365971,NA,NA,NA,NA
101,146,"platform with other structures on it","residence of uncertain status",8,451,0.0177383592017738,2533,0.00315831030398737,0.0208966695057612,2,0.0121951219512195,0.0140845070422535,0.026279628993473
50,143,"no plausible alternative to the primary interpretation","residence of uncertain status",44,14583,0.0030172118219845,2533,0.0173707066719305,0.020387918493915,NA,NA,NA,NA
34,184,"casa humilde","wall or segment of a wall",2,2358,0.000848176420695505,107,0.0186915887850467,0.0195397652057422,1,0.00163398692810458,0.0256410256410256,0.0272750125691302
56,166,"no plausible alternative to the primary interpretation","temple platform",11,14583,0.000754302955496126,586,0.0187713310580205,0.0195256340135166,4,0.00107816711590297,0.0173160173160173,0.0183941844319203
90,169,"other","temple platform",2,126,0.0158730158730159,586,0.00341296928327645,0.0192859851562923,1,0.0212765957446809,0.00432900432900433,0.0256056000736852
31,19,"casa humilde","cultivated field",2,2358,0.000848176420695505,113,0.0176991150442478,0.0185472914649433,NA,NA,NA,NA
29,155,"casa humilde","residential workshop",4,2358,0.00169635284139101,244,0.0163934426229508,0.0180897954643418,2,0.00326797385620915,0.0235294117647059,0.026797385620915
2,106,"access-way (alley, street, avenue, etc.)","plaza",3,228,0.0131578947368421,1139,0.00263388937664618,0.0157917841134883,1,0.0117647058823529,0.00247524752475248,0.0142399534071054
125,25,"primary interpretation is the best assessment of a very ambiguous situation","high status residence",8,4655,0.00171858216970999,636,0.0125786163522013,0.0142971985219112,4,0.00392541707556428,0.0126984126984127,0.016623829773977
131,83,"primary interpretation is the best assessment of a very ambiguous situation","other",3,4655,0.000644468313641246,220,0.0136363636363636,0.0142808319500049,NA,NA,NA,NA
3,196,"access-way (alley, street, avenue, etc.)",NA,3,228,0.0131578947368421,3128,0.000959079283887468,0.0141169740207296,1,0.0117647058823529,0.0021978021978022,0.0139625080801551
194,20,NA,"cultivated field",1,214,0.00467289719626168,113,0.00884955752212389,0.0135224547183856,NA,NA,NA,NA
174,127,"simple platform","primary interpretation is the best assessment of a very ambiguous situation",7,623,0.0112359550561798,5305,0.00131950989632422,0.012555464952504,2,0.0119760479041916,0.00170212765957447,0.0136781755637661
187,128,"temple base (incl. platforms & multi-tiered platforms)","primary interpretation is the best assessment of a very ambiguous situation",6,614,0.00977198697068404,5305,0.00113100848256362,0.0109029954532477,2,0.0078740157480315,0.00170212765957447,0.00957614340760596
75,103,"occupation without durable structures","plaza",6,1165,0.00515021459227468,1139,0.00526777875329236,0.010417993345567,2,0.0062111801242236,0.00495049504950495,0.0111616751737286
140,37,"probably not occupied or utilized in this period","low status residential, no obvious occupational specialization",17,6729,0.00252637836231238,2287,0.00743331875819851,0.00995969712051089,6,0.00805369127516779,0.00991735537190083,0.0179710466470686
166,84,"room group","other",2,2458,0.00081366965012205,220,0.00909090909090909,0.00990457874103114,NA,NA,NA,NA
193,179,NA,"unoccupied, not clear if cultivated or not",2,214,0.00934579439252336,4779,0.000418497593638837,0.0097642919861622,NA,NA,NA,NA
175,195,"simple platform",NA,5,623,0.00802568218298555,3128,0.00159846547314578,0.00962414765613133,1,0.00598802395209581,0.0021978021978022,0.00818582614989801
102,129,"platform with other structures on it","primary interpretation is the best assessment of a very ambiguous situation",4,451,0.00886917960088692,5305,0.000754005655042413,0.00962318525592933,2,0.0121951219512195,0.00170212765957447,0.013897249610794
103,107,"platform with other structures on it","plaza",3,451,0.00665188470066519,1139,0.00263388937664618,0.00928577407731137,1,0.00609756097560976,0.00247524752475248,0.00857280850036223
25,122,"casa humilde","primary interpretation is the best assessment of a very ambiguous situation",15,2358,0.00636132315521628,5305,0.00282752120640905,0.00918884436162533,5,0.00816993464052288,0.00425531914893617,0.012425253789459
